Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2017,2017,2017,6,1,1,Import,152,Chile,CHL,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,291031,,91896,,2435313,,,4
H3,2017,2017,2017,6,1,2,Export,152,Chile,CHL,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,1283,,3696,,138829,,,4
H3,2017,2017,2017,6,1,1,Import,208,Denmark,DNK,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,338357,,174573,,6571386,,,0
H3,2017,2017,2017,6,1,2,Export,208,Denmark,DNK,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,55953,,25934,,1211197,,,0
H3,2017,2017,2017,6,1,1,Import,218,Ecuador,ECU,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,139627,,37281,,441229,,,0
H3,2017,2017,2017,6,1,2,Export,218,Ecuador,ECU,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,747,,235,,13514,,,0
H3,2017,2017,2017,6,1,1,Import,222,El Salvador,SLV,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,3541,,4238,,42342,,,2
H3,2017,2017,2017,6,1,2,Export,222,El Salvador,SLV,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,67256,,53240,,1031163,,,2
H3,2017,2017,2017,6,1,1,Import,246,Finland,FIN,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,420678,,194421,,5399769,,,4
H3,2017,2017,2017,6,1,2,Export,246,Finland,FIN,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,21955,,9792,,392526,,,4
H3,2017,2017,2017,6,1,1,Import,268,Georgia,GEO,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,12823,,6455,,196310,,,0
H3,2017,2017,2017,6,1,2,Export,268,Georgia,GEO,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,111,,57,,1185,,,0
H3,2017,2017,2017,6,1,3,Re-Export,268,Georgia,GEO,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,27,,33,,782,,,0
H3,2017,2017,2017,6,1,1,Import,276,Germany,DEU,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,18384791,,10234961,,219822262,,,2
H3,2017,2017,2017,6,1,2,Export,276,Germany,DEU,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,11608433,,5551225,,177979392,,,6
H3,2017,2017,2017,6,1,1,Import,344,"China, Hong Kong SAR",HKG,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,934730,,667957,,17701281,,,4
H3,2017,2017,2017,6,1,2,Export,344,"China, Hong Kong SAR",HKG,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,1026530,,,,16253508,,,0
H3,2017,2017,2017,6,1,3,Re-Export,344,"China, Hong Kong SAR",HKG,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,1026523,,,,16252950,,,0
H3,2017,2017,2017,6,1,1,Import,352,Iceland,ISL,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,28218,,8443,,337404,,,6
H3,2017,2017,2017,6,1,2,Export,352,Iceland,ISL,0,World,WLD,,,,,,,,610220,"Women's/girls' overcoats, car-coats, capes, cloaks, anoraks (incl. ski-jackets), wind-cheaters, wind-jackets & similar articles, knitted/crocheted (excl. of 61.04), of cotton",5,Number of items,,,1,,0,,20,,,6
